"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 00:00","2016","04","01","00:00","","12.6","","0.9","","45","","","M","","M","11","","","","92.48","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 01:00","2016","04","01","01:00","","12.1","","1.2","","48","","","M","","M","9","","","","92.43","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 02:00","2016","04","01","02:00","","10.1","","1.6","","55","","","M","","M","4","","","","92.38","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 03:00","2016","04","01","03:00","","8.7","","0.9","","58","","","M","","M","0","","","","92.37","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 04:00","2016","04","01","04:00","","6.8","","0.6","","65","","","M","","M","3","","","","92.41","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 05:00","2016","04","01","05:00","","5.8","","0.4","","68","","","M","","M","3","","","","92.43","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 06:00","2016","04","01","06:00","","5.2","","0.1","","70","","","M","","M","4","","","","92.46","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 07:00","2016","04","01","07:00","","3.2","","-0.3","","78","","","M","","M","0","","","","92.49","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 08:00","2016","04","01","08:00","","3.8","","-0.5","","74","","","M","","M","10","","","","92.50","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 09:00","2016","04","01","09:00","","3.3","","-1.0","","73","","","M","","M","10","","","","92.52","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 10:00","2016","04","01","10:00","","2.8","","-1.3","","75","","","M","","M","10","","","","92.52","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 11:00","2016","04","01","11:00","","2.5","","-1.5","","75","","","M","","M","10","","","","92.54","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 12:00","2016","04","01","12:00","","1.3","","-1.9","","79","","","M","","M","3","","","","92.56","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 13:00","2016","04","01","13:00","","0.1","","-2.3","","84","","","","","M","9","","","","92.56","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 14:00","2016","04","01","14:00","","2.2","","-1.7","","75","","","M","","M","11","","","","92.59","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 15:00","2016","04","01","15:00","","4.1","","-1.3","","68","","","M","","M","15","","","","92.60","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 16:00","2016","04","01","16:00","","6.9","","0.2","","62","","","M","","M","11","","","","92.61","","","","","","NA"
"-115.78","54.14","WHITECOURT","3067371","2016-04-01 17:00","2016","04","01","17:00","","11.1","","0.1","","47","","","M","","M","15","","","","92.59","","","","","","NA"
